asin,csv_column,csv_value,api_value,verdict
B08W56WVHD,Buy Box: FBAです,no,no,一致
B08W56WVHD,Amazon: 現在価格,,,両方空
B08W56WVHD,Amazon: 90 日平均,,,両方空
B08W56WVHD,Amazon: 365 日平均,,,両方空
B08W56WVHD,Amazon: 90日間の下落 %,,,両方空
B08W56WVHD,Amazon: 在庫,,,両方空
B08W56WVHD,Amazon: 90日間在庫切れ,100 %,100 %,一致
B08W56WVHD,Amazon: 在庫切れカウント 30 日間,1,1,一致
B08W56WVHD,Amazon: 在庫切れカウント 90 日間,1,1,一致
B08W56WVHD,新品: 90 日平均,618,618,一致
B08W56WVHD,新品: 365 日平均,601,601,一致
B08W56WVHD,新品: 90日間の下落 %,-2 %,-2 %,一致
B08W56WVHD,新しい、第三者FBA: 90 日平均,513,513,一致
B08W56WVHD,新しい、第三者FBA: 365 日平均,606,606,一致
B08W56WVHD,新しい、第三者FBA: 90日間の下落 %,,,両方空
B08W56WVHD,最安の FBA セラー,,,両方空
B08W56WVHD,新品 第三者 FBM: 90 日平均,618,618,一致
B08W56WVHD,新品 第三者 FBM: 365 日平均,617,616,ほぼ一致（丸め）
B08W56WVHD,新品 第三者 FBM: 90日間の下落 %,-2 %,-2 %,一致
B08W56WVHD,最安の FBM セラー,World NEXT （無休・即日発送） (92%) / A3L1BD8LA6USKU,A3L1BD8LA6USKU,一致（セラーID）
B08W56WVHD,参考価格: 90 日平均,0,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,参考価格: 365 日平均,0,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,参考価格: 90日間の下落 %,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,新品アイテム数: 90 日平均,5,5,一致
B08W56WVHD,新品アイテム数: 365 日平均,7,6,ほぼ一致（丸め）
B08W56WVHD,新品アイテム数: 90日間の下落 %,0 %,0 %,一致
B08W56WVHD,URL: Amazon,https://www.amazon.co.jp/dp/B08W56WVHD?psc=1,https://www.amazon.co.jp/dp/B08W56WVHD?psc=1,一致
B08W56WVHD,URL: Keepa,https://keepa.com/#!product/5-B08W56WVHD,https://keepa.com/#!product/5-B08W56WVHD,一致
B08W56WVHD,カテゴリ: ルート,食品・飲料・お酒,食品・飲料・お酒,一致
B08W56WVHD,カテゴリ: サブ,和風だし,和風だし,一致
B08W56WVHD,カテゴリ: ツリー,食品・飲料・お酒 › 調味料・食用油・ドレッシング › 和風だし,食品・飲料・お酒 › 調味料・食用油・ドレッシング › 和風だし,一致
B08W56WVHD,ASIN,B08W56WVHD,B08W56WVHD,一致
B08W56WVHD,商品コード: EAN,4906283045119,4906283045119,一致
B08W56WVHD,製造者,大平水産株式会社,大平水産株式会社,一致
B08W56WVHD,ブランド,石原水産,石原水産,一致
B08W56WVHD,単位の詳細: 単位の価値,1,1,一致
B08W56WVHD,アイテム数,,,両方空
B08W56WVHD,発売日,,5315169,CSV空・APIあり
B08W56WVHD,パッケージ: 長さ (cm),21.8,21.8,一致
B08W56WVHD,パッケージ: 幅 (cm),15.1,15.1,一致
B08W56WVHD,パッケージ: 高さ (cm),2.5,2.5,一致
B08W56WVHD,パッケージ: 重さ (g),60,60,一致
B08W56WVHD,パッケージ: 数量,1,1,一致
B08W56WVHD,商品: 長さ (cm),,,両方空
B08W56WVHD,商品: 幅 (cm),,,両方空
B08W56WVHD,商品: 高さ (cm),,,両方空
B08W56WVHD,商品: 重さ (g),50,50,一致
B08W56WVHD,Buy Box: 定期おトク便,no,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,ワンタイムクーポン: 定期おトク便 %,,,両方空
B08W56WVHD,ビジネス割引: パーセンテージ,,,両方空
B08W56WVHD,Buy Box: % Amazon 30 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: % Amazon 90 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: % Amazon 180 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: % Amazon 365 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: % トップセラー 30 日,100 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: % トップセラー 90 日,90 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: % トップセラー 180 日,46 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: % トップセラー 365 日,26 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 勝者数 30 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 勝者数 90 日,4,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 勝者数 180 日,5,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 勝者数 365 日,9,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 標準偏差 30 日,,,両方空
B08W56WVHD,Buy Box: 標準偏差 90 日,35,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 標準偏差 365 日,57,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 変動性 30 日,8,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 変動性 90 日,8,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,Buy Box: 変動性 365 日,24,,CSVあり・API空（期間統計は未マップまたは画面専用）
